,text,VP,cfg,good_cplx,good_mood,syntx_score,good_intent_syntx,intent,intendeed,ORG,NORP,DATE,known_words
22,Have you sent out my card yet?,sent out my card yet,VP -> VBN PRT NP ADVP,1,1,0.5454545454545454,0,0,0,0,0,0,
23,My card isn't here yet.,is n't here yet,VP -> VBZ RB ADVP ADVP,1,,,0,0,0,0,0,0,
24,where is my new card?,is my new card,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
25,It's been a week since you sent my card and I still don't have it.,'s been a week since you sent my card,VP -> VBZ VP,1,,,0,0,0,0,0,0,
26,How do I track the card you sent me?,track the card you sent me,VP -> VB NP,1,1,1.0,1,['track'],"['card', 'me']",,,,1
27,When will I recieve my new card?,recieve my new card,VP -> VB NP,1,1,1.0,1,['recieve'],['card'],,,,1
28,When will I get my new card?,get my new card,VP -> VB NP,1,1,1.0,1,['get'],['card'],,,,1
29,What is the expected delivery date for my card?,is the expected delivery date for my card,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
30,Is there a tracking number for the card you sent me?,sent me,VP -> VBD NP,1,1,0.9230769230769231,0,0,0,0,0,0,
31,I would like to track the card you sent to me.,would like to track the card you sent to me,VP -> MD VP,1,,,0,0,0,0,0,0,
32,Has my card been lost in delivery?,been lost in delivery,VP -> VBN VP,1,1,0.7692307692307693,0,0,0,0,0,0,
33,My new card hasn't came in.,has n't came in,VP -> VBZ RB VP,1,,,0,0,0,0,0,0,
34,Where is the card I ordered 2 weeks ago?,ordered 2 weeks ago,VP -> VBD ADVP,1,1,0.6666666666666666,0,0,0,0,0,0,
35,Can I get an update on my replacement card?,get an update on my replacement card,VP -> VB NP,1,1,1.0,1,['get'],['update'],,,,1
36,How long does it take for a new card to ship?,take for a new card to ship,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
37,What's the tracking on the card you sent?,'s the tracking on the card you sent,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
38,I haven't received my card and am worried it is lost.,have n't received my card and am worried it is lost,VP -> VP CC VP,1,,,0,0,0,0,0,0,
39,My card still hasn't been delivered,has n't been delivered,VP -> VBZ RB VP,0,,,0,0,0,0,0,0,
40,I need to find out where the card is that I ordered.,need to find out where the card is that I ordered,VP -> VBP S,1,,,0,0,0,0,0,0,
41,Where is my credit card that was to be mailed?,was to be mailed,VP -> VBD S,1,1,0.6666666666666666,0,0,0,0,0,0,
42,I ordered my card but it hasn't been delivered yet,ordered my card,VP -> VBD NP,0,,,0,0,0,0,0,0,
43,Am I able to track the card that was just sent to me?,to track the card that was just sent to me,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
44,Can you tell me why I haven't received my new card?,tell me why I have n't received my new card,VP -> VB NP SBAR,1,1,0.7058823529411765,0,0,0,0,0,0,
45,I'm still waiting for my new card.,'m still waiting for my new card,VP -> VBP ADVP VP,1,,,0,0,0,0,0,0,
46,Is my card lost? I am still waiting for it to be delivered.,lost,VP -> VBN,0,,,0,0,0,0,0,0,
47,Should I keep waiting for my card to be delivered?,keep waiting for my card to be delivered,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
48,Can I track when my card will be delivered?,track when my card will be delivered,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
49,How can I check on the status of my new card?,check on the status of my new card,VP -> VB PP,1,1,0.8333333333333334,0,0,0,0,0,0,
50,"A card has been sent to me, how do I track it?",has been sent to me,VP -> VBZ VP,1,1,0.7692307692307693,0,0,0,0,0,0,
51,Is there a way I can get my card expedited?,can get my card expedited,VP -> MD VP,1,1,0.5,0,0,0,0,0,0,
52,What can I do to track the card you sent me?,do to track the card you sent me,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
53,why hasnt my card come in yet?,come in yet,VP -> VB PRT ADVP,1,1,0.5555555555555556,0,0,0,0,0,0,
54,How can I periodically check the delivery of the card you sent?,check the delivery of the card you sent,VP -> VB NP,1,1,1.0,1,['check'],['delivery'],,,,1
55,What's the reason my new card hasn't come?,'s the reason my new card has n't come,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
56,How long does it take for me to get my new card?,take for me to get my new card,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
57,I don't have my card after 1 week. What are my next steps?,do n't have my card after 1 week . What are my next steps,VP -> VP . WHNP SQ,0,,,0,0,0,0,0,0,
58,I know I'm getting a new card but would like know when I can expect to receive it.,know I 'm getting a new card but would like know when I can expect to receive it,VP -> VP CC VP,1,,,0,0,0,0,0,0,
59,I want to find out what happened to my new card?,want to find out what happened to my new card,VP -> VBP S,1,1,0.6666666666666666,0,0,0,0,0,0,
60,Was there a way for me to get tracking for that?,to get tracking for that,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
61,I am still waiting for my card.,am still waiting for my card,VP -> VBP ADVP VP,1,,,0,0,0,0,0,0,
62,My card hasn't arrived.,has n't arrived,VP -> VBZ RB VP,1,,,0,0,0,0,0,0,
63,Can I track the card you sent to me?,track the card you sent to me,VP -> VB NP,1,1,1.0,1,['track'],['card'],,,,1
64,I haven't gotten my new card.,have n't gotten my new card,VP -> VBP RB VP,1,,,0,0,0,0,0,0,
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,take for my new card to arrive in them mail,VP -> VB SBAR,0,1,0.5714285714285714,0,0,0,0,0,0,
66,Will I have to wait much longer for my new card to arrive?,have to wait much longer for my new card to arrive,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
67,how to track the card you sent,to track the card you sent,VP -> TO VP,0,,,0,0,0,0,0,0,
68,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,ordered my new card,VP -> VBD NP,0,,,0,0,0,0,0,0,
69,How can I check on the delivery status of my card?,check on the delivery status of my card,VP -> VB PP,1,1,0.8333333333333334,0,0,0,0,0,0,
70,"My card has not been delivered yet and its been a week since I ordered it, please help",has not been delivered yet,VP -> VBZ RB VP,0,,,0,0,0,0,0,0,
71,What's the expected wait time to recieve my new card?,'s the expected wait time to recieve my new card,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
72,How can I see the progress of delivery of the card that was sent?,see the progress of delivery of the card that was sent,VP -> VB NP,1,1,1.0,1,['see'],['progress'],,,,1
73,"My card was supposed to arrive, but hasn't?",was supposed to arrive,VP -> VBD VP,1,1,0.7692307692307693,0,0,0,0,0,0,
74,I ordered a card and would like to know how to track the delivery progress of it.,ordered a card and would like to know how to track the delivery progress of it,VP -> VP CC VP,1,,,0,0,0,0,0,0,
75,How long will it take for me to get my card?,take for me to get my card,VP -> VB SBAR,1,1,0.5714285714285714,0,0,0,0,0,0,
76,My card hasn't shown up yet.,has n't shown up yet,VP -> VBZ RB VP,1,,,0,0,0,0,0,0,
77,Does the card you sent have a tracking number?,sent,VP -> VBD,1,1,0.6,0,0,0,0,0,0,
78,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,has n't arrived in the mail yet,VP -> VBZ RB VP,0,,,0,0,0,0,0,0,
79,maximum how many days get the courier?,get the courier,VP -> VBP NP,1,1,0.9230769230769231,0,0,0,0,0,0,
80,Is there a reason my new card hasn't arrived yet?,has n't arrived yet,VP -> VBZ RB VP,1,1,0.625,0,0,0,0,0,0,
81,"I've been waiting a while for my card, is there a way to know when it will arrive?",'ve been waiting a while for my card,VP -> VB VP,1,1,0.8333333333333334,0,0,0,0,0,0,
82,How can I track my card's delivery?,track my card 's delivery,VP -> VB NP,1,1,1.0,1,['track'],['delivery'],,,,1
83,Can I track the card that was just sent to me?,track the card that was just sent to me,VP -> VB NP,1,1,1.0,1,['track'],['card'],,,,1
84,"If I ordered my new card last week, how much longer should I wait to receive it?",ordered my new card last week,VP -> VBD NP NP,1,1,0.75,0,0,0,0,0,0,
85,"What's go on, where is my new card?",'s go on,VP -> VBZ VP,1,1,0.7692307692307693,0,0,0,0,0,0,
86,Where is my new card if I haven't received it yet?,have n't received it yet,VP -> VBP RB VP,1,1,0.625,0,0,0,0,0,0,
87,Where is my card?,[],,1,1,0.0,0,0,0,0,0,0,
88,Can you tell me why I haven't received my new card yet?,tell me why I have n't received my new card yet,VP -> VB NP SBAR,1,1,0.7058823529411765,0,0,0,0,0,0,
89,Is there a way to track my card?,to track my card,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
90,Is there a way to track the new card you sent me?,to track the new card you sent me,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
91,I'm still waiting for my card.,'m still waiting for my card,VP -> VBP ADVP VP,1,,,0,0,0,0,0,0,
92,What do I need to do to get my new card which I have requested 2 weeks ago?,need to do to get my new card which I have requested 2 weeks ago,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
93,WHAT IS THE SOLUTION OF THIS PROBLEM,IS THE SOLUTION OF THIS PROBLEM,VP -> VBZ NP,0,,,0,0,0,0,0,0,
94,Could I get tracking on the card?,get tracking on the card,VP -> VB NP,1,1,1.0,1,['get'],['tracking'],,,,1
95,Can you help me track my card?,help me track my card,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
96,Shouldn't my new card be here by now?,be here by now,VP -> VB ADVP PP,1,1,0.5882352941176471,0,0,0,0,0,0,
97,Is there a reason my new card hasn't arrived?,has n't arrived,VP -> VBZ RB VP,1,1,0.625,0,0,0,0,0,0,
98,"I would like to track a card sent to me, how do I do that?","would like to track a card sent to me , how do I do that",VP -> MD VP,1,1,0.5,0,0,0,0,0,0,
99,Is there a tracking number for the card?,[],,1,1,0.0,0,0,0,0,0,0,
100,can you share card tracking number?,share card tracking number,VP -> VB NP,1,1,1.0,1,['number'],,,,,1
101,"I have not received my card and it's been a week, what do I do?",have not received my card,VP -> VBP RB VP,1,1,0.625,0,0,0,0,0,0,
102,Is there a way I can check on the card on route to me?,can check on the card on route to me,VP -> MD VP,1,1,0.5,0,0,0,0,0,0,
103,When will my new card arrive?,arrive,VP -> NN,1,1,0.4444444444444444,0,0,0,0,0,0,
104,Why haven't I received my new card yet?,received my new card yet,VP -> VBD NP ADVP,1,1,0.6666666666666666,0,0,0,0,0,0,
105,What is the expected delivery date of my card?,is the expected delivery date of my card,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
106,My card hasn't came in the mail yet?,has n't came in the mail yet,VP -> VBZ RB VP,1,1,0.625,0,0,0,0,0,0,
107,I haven't received my card.,have n't received my card,VP -> VBP RB VP,1,,,0,0,0,0,0,0,
108,Is it possible for me to track the card is was mailed to me?,to track the card,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
109,When will my new card be delivered?,be delivered,VP -> VB VP,1,1,0.8333333333333334,0,0,0,0,0,0,
110,I was issued a card about a week ago. why hasn't it come in yet?,was issued a card about a week ago,VP -> VBD VP,0,,,0,0,0,0,0,0,
111,Can you please tell me where my card is? I ordered it 2 weeks ago!,tell me where my card is ? I ordered it 2 weeks ago,VP -> VB NP SBAR . NP VP,0,,,0,0,0,0,0,0,
112,I still haven't received my card in the mail,have n't received my card in the mail,VP -> VBP RB VP,0,,,0,0,0,0,0,0,
113,I'm still waiting for my card that was issued a week ago. What should I do?,'m still waiting for my card that was issued a week ago,VP -> VBP ADVP VP,0,,,0,0,0,0,0,0,
114,I still haven't gotten my new card.  When will it get here?,have n't gotten my new card,VP -> VBP RB VP,0,,,0,0,0,0,0,0,
115,Do you have a tracking number for the card I was sent?,have a tracking number for the card I was sent,VP -> VB NP,1,1,1.0,1,['have'],['number'],,,,1
116,How do I track the card you sent to me?,track the card you sent to me,VP -> VB NP,1,1,1.0,1,['track'],['card'],,,,1
117,Is my new bank card on the way and is there a way to track it?,is there a way to track it,VP -> VBZ NP NP,1,1,0.75,0,0,0,0,0,0,
118,Could you send me and up date on the arrival of my card?,send me and up date on the arrival of my card,VP -> VB NP CC IN NP PP,1,1,0.5,0,0,0,0,0,0,
119,How long does it take to recieve my new card?,take to recieve my new card,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
120,My card has not come in the mail yet.,has not come in the mail yet,VP -> VBZ RB VP,1,,,0,0,0,0,0,0,
121,What's the card you sent me's tracking number?,sent me 's tracking number,VP -> VBD NP,1,1,0.9230769230769231,0,0,0,0,0,0,
122,i havent got my card,have nt got my card,VP -> VBP RB VP,0,,,0,0,0,0,0,0,
123,Why hasn't my card arrived yet?,arrived yet,VP -> VBD ADVP,1,1,0.6666666666666666,0,0,0,0,0,0,
124,I thought I would have received my new card at this point.,thought I would have received my new card at this point,VP -> VBD SBAR,1,,,0,0,0,0,0,0,
125,How long until my new card gets here?,gets here,VP -> VBZ ADVP,1,1,0.6666666666666666,0,0,0,0,0,0,
126,How much longer until I get my new card?,get my new card,VP -> VBP NP,1,1,0.9230769230769231,0,0,0,0,0,0,
127,Am I able to track a card that has already been sent?,to track a card that has already been sent,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
128,Is it possible to track the card you sent me?,to track the card you sent me,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
129,How long will it be to get this new card?,be to get this new card,VP -> VB S,1,1,0.7272727272727273,0,0,0,0,0,0,
130,how can i track card you sent,track card you sent,VP -> VB NP NP VP,0,,,0,0,0,0,0,0,
131,Can the card was sen to me be tracked?,was sen to me be tracked,VP -> VBD NP PP VP,1,1,0.631578947368421,0,0,0,0,0,0,
132,why have i not got my new card?,got my new card,VP -> VBD NP,1,1,0.9230769230769231,0,0,0,0,0,0,
133,I need to track the card sent to me.,need to track the card sent to me,VP -> VBP S,1,,,0,0,0,0,0,0,
134,"It's been two weeks and I haven't gotten my card, what do I do?",'s been two weeks and I have n't gotten my card,VP -> VBZ VP CC S,1,1,0.5555555555555556,0,0,0,0,0,0,
135,I was expecting my new card by now.,was expecting my new card by now,VP -> VBD VP,1,,,0,0,0,0,0,0,
136,Where is the tracking number for the card?,is the tracking number for the card,VP -> VBZ NP,1,1,0.9230769230769231,0,0,0,0,0,0,
137,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,was issued a new card a week ago,VP -> VBD VP,0,,,0,0,0,0,0,0,
138,Can I track the card that you sent me in the mail?,track the card that you sent me in the mail,VP -> VB NP,1,1,1.0,1,['track'],"['card', 'me']",,,,1
139,Can you tell me if I can track the card you sent me?,tell me if I can track the card you sent me,VP -> VB NP SBAR,1,1,0.7058823529411765,0,0,0,0,0,0,
140,Why have I not gotten my new card?,gotten my new card,VP -> VBN NP,1,1,0.9230769230769231,0,0,0,0,0,0,
141,I'm still waiting on my new card to be delivered!,'m still waiting on my new card to be delivered,VP -> VBP ADVP VP,1,,,0,0,0,0,0,0,
142,My new card isn't here and it was issued a week ago.,is n't here,VP -> VBZ RB ADVP,1,,,0,0,0,0,0,0,
143,"I was supposed to receive my new card by now, but it hasn't came in.",was supposed to receive my new card by now,VP -> VBD VP,1,,,0,0,0,0,0,0,
144,Is a tracking number available for the card that was just sent?,was just sent,VP -> VBD ADVP VP,1,1,0.5555555555555556,0,0,0,0,0,0,
145,Why haven't I gotten my new card?,gotten my new card,VP -> VBN NP,1,1,0.9230769230769231,0,0,0,0,0,0,
146,Was there a number to track that I could get?,to track that I could get,VP -> TO VP,1,1,0.5,0,0,0,0,0,0,
147,How much longer is it going to take to get my new card?,going to take to get my new card,VP -> VBG S,1,1,0.6666666666666666,0,0,0,0,0,0,
148,I haven't gotten my credit card in the mail.,have n't gotten my credit card in the mail,VP -> VBP RB VP,1,,,0,0,0,0,0,0,
149,My card hasn't arrived yet. What do I do?,has n't arrived yet,VP -> VBZ RB VP,0,,,0,0,0,0,0,0,
150,"My card still hasn't arrived after two weeks, now what?","has n't arrived after two weeks , now what",VP -> VBZ RB VP,1,1,0.625,0,0,0,0,0,0,
151,My card appears to have never arrived?,appears to have never arrived,VP -> VBZ S,1,1,0.6666666666666666,0,0,0,0,0,0,
152,My card never arrived.,arrived,VP -> VBD,1,,,0,0,0,0,0,0,
153,My card has been found. Is there any way for me to put it back into the app?,,,,,,,,,,,,
154,I was able to find my card. How to I go about putting it into my app?,,,,,,,,,,,,
155,how do I get my card to show in the app?,,,,,,,,,,,,
156,I just got my card.  It's not linked yet--how do I do that?,,,,,,,,,,,,
157,"lost card found, want to put it back in app",,,,,,,,,,,,
158,"I just got a card, how can I add it to the app?",,,,,,,,,,,,
159,Is there any way to see my card in the app?,,,,,,,,,,,,
160,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,,,,,,,,,,,,
161,I found my card. How can I put it into my app?,,,,,,,,,,,,
162,How do I make my card show up in the app?,,,,,,,,,,,,
163,Can you show me where to link the new card?,,,,,,,,,,,,
164,I found my old card. Can I link it back into the app?,,,,,,,,,,,,
165,"Show me how to link the new card,",,,,,,,,,,,,
166,How do I add an existing card to the app?,,,,,,,,,,,,
167,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,,,,,,,,,,,,
168,How do I link one of your card that I already have?,,,,,,,,,,,,
169,If I have a physical card can I link it?,,,,,,,,,,,,
170,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,,,,,,,,,,,,
171,Can I add a card that I just found (again) to the app?,,,,,,,,,,,,
172,How can I make my card show up in the app?,,,,,,,,,,,,
173,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",,,,,,,,,,,,
174,"Okay, I found my card, can I put it back in the app?",,,,,,,,,,,,
175,Can I reactivate a card?,,,,,,,,,,,,
176,I would like to reactivate a card and wondered if that could be done?,,,,,,,,,,,,
177,"I got my card now, how do I make it show up in the app?",,,,,,,,,,,,
178,How do I link an existing card?,,,,,,,,,,,,
179,How do I link a new card in the app?,,,,,,,,,,,,
180,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",,,,,,,,,,,,
181,I already have a card and want to link it,,,,,,,,,,,,
182,Can you please reactivate my card?,,,,,,,,,,,,
183,Where do I go to add a new card?,,,,,,,,,,,,
184,I want my card I just received to show up in the app. How do I do that?,,,,,,,,,,,,
185,"I received my card, how do I get it to show in the app?",,,,,,,,,,,,
186,If I have a credit card with you how I get set up to link to it?,,,,,,,,,,,,
187,How do I add my new card?,,,,,,,,,,,,
188,"I want to reactivate my card, I thought I had lost it but found it again this morning.",,,,,,,,,,,,
189,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",,,,,,,,,,,,
190,My card is no longer lost. How do I enter it back into the app?,,,,,,,,,,,,
191,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",,,,,,,,,,,,
192,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",,,,,,,,,,,,
193,How do I reactivate a card I thought I lost?,,,,,,,,,,,,
194,Help me figure out how to link the new card.,,,,,,,,,,,,
195,I found my lost card. Am I still able to use it?,,,,,,,,,,,,
196,Will I need a new card or can I put my old card back into the app?,,,,,,,,,,,,
197,Is there a way to link the card i just got?,,,,,,,,,,,,
198,How do I add a new card?,,,,,,,,,,,,
199,"I want to reactivate my card, I found it after thinking it was lost.",,,,,,,,,,,,
200,Can I put my old card back in the app?,,,,,,,,,,,,
201,"I got a new card, how do I link it?",,,,,,,,,,,,
202,I found the card I thought I lost this morning. Can I reactivate this card?,,,,,,,,,,,,
203,How do i go about linking a new card?,,,,,,,,,,,,
204,how do i get the card linked,,,,,,,,,,,,
205,"I have one of your cards, but I don't know how to link it.",,,,,,,,,,,,
206,how do I link an old card?,,,,,,,,,,,,
207,I received my card. How do I link it to the app?,,,,,,,,,,,,
208,"Now that I have my card, how do I connect it to the app?",,,,,,,,,,,,
209,How do I add the card I just received to show up in the app?,,,,,,,,,,,,
210,"I want to reactivate my card, I thought I had lost it but I found it.",,,,,,,,,,,,
211,What do I need to do to link my new card for my account?,,,,,,,,,,,,
212,Can I add a card to back into the app?,,,,,,,,,,,,
213,I want to link my new card. Can you help?,,,,,,,,,,,,
214,What is the process to link the new card?,,,,,,,,,,,,
215,"I found my card, am I able to put it back into the app?",,,,,,,,,,,,
216,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",,,,,,,,,,,,
217,Where can I link a new card?,,,,,,,,,,,,
218,How do I add a card on to the app?,,,,,,,,,,,,
219,"I found my card in my jacket this morning, so can I reactivate it?",,,,,,,,,,,,
220,"I've obtained the card, how do I enable it on the app?",,,,,,,,,,,,
221,I need to find the card I received in the app.,,,,,,,,,,,,
222,How do I get my card on the app?,,,,,,,,,,,,
223,"In the app, how can I make it show the new card that arrived?",,,,,,,,,,,,
224,How do I link my new card?,,,,,,,,,,,,
225,Can I activate a card in the app?,,,,,,,,,,,,
226,"I want to link to my card card with you, how?",,,,,,,,,,,,
227,I would like to link my card to my account.,,,,,,,,,,,,
228,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",,,,,,,,,,,,
229,How can I link the new card?,,,,,,,,,,,,
230,I got a new card and can't find where to link it.,,,,,,,,,,,,
231,"Hey, I have my card, how do I get it to show in the app?",,,,,,,,,,,,
232,Where in the app do I go to make my new card show up?,,,,,,,,,,,,
233,Where do I scan my card?,,,,,,,,,,,,
234,Can I reactivate my card? I reported it lost and found it this morning in my jacket.,,,,,,,,,,,,
235,Can I link my card I previously received?,,,,,,,,,,,,
236,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",,,,,,,,,,,,
237,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",,,,,,,,,,,,
238,You sent me a card and now I want to link it.,,,,,,,,,,,,
239,How do I add my new card to the app?,,,,,,,,,,,,
240,Can I add a card back to the app?,,,,,,,,,,,,
241,What if I want to add a card I already have to the app?,,,,,,,,,,,,
242,"I recently reported my card as missing/lost, and I just found it. Can I still use it?",,,,,,,,,,,,
243,"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",,,,,,,,,,,,
244,Is there a way to link cards if I have one of yours?,,,,,,,,,,,,
245,If my card was lost or stolen can I re-link it?,,,,,,,,,,,,
246,How do I link a new card to an existing one?,,,,,,,,,,,,
247,How do I link a new payment card?,,,,,,,,,,,,
248,I would like to reactivate my card that I previously reported lost. I located the card this morning.,,,,,,,,,,,,
249,"Card has been received, how will it show up on the app?",,,,,,,,,,,,
250,Can I re-link a lost card with the app?,,,,,,,,,,,,
251,What do I do to link my new card?,,,,,,,,,,,,
252,Is it possible to link a new card?,,,,,,,,,,,,
253,I deactivated my card but would like to reactivate it.,,,,,,,,,,,,
254,"I found my card that I thought I had lost, I need to reactive it, please help.",,,,,,,,,,,,
255,can I link a card of yours I already have?,,,,,,,,,,,,
256,Can I put my found card back into the app on my phone?,,,,,,,,,,,,
257,"My card arrived but I need to make it work in the app, how do I do that?",,,,,,,,,,,,
258,"I found the card that I thought I lost, and I would like to reactivate it.",,,,,,,,,,,,
259,I found my card again. Can I put it back into the app?,,,,,,,,,,,,
260,I need some help linking my new card.,,,,,,,,,,,,
261,help me link my card,,,,,,,,,,,,
262,How do I link my card in the app.,,,,,,,,,,,,
263,How do I get my card into the app?,,,,,,,,,,,,
264,I found my card! Can I link it back into the app?,,,,,,,,,,,,
265,How do I reactivate my card?,,,,,,,,,,,,
266,Where do I go to get my new card linked?,,,,,,,,,,,,
267,"I thought I lost my card but I found it today, so I would like to reactivate it.",,,,,,,,,,,,
268,How do I link the new card that I just got from you guys?,,,,,,,,,,,,
269,How can I add a new card?,,,,,,,,,,,,
270,Can you tell me how to get my card on the app?,,,,,,,,,,,,
271,Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,,,,,,,,,,,,
272,How do I make my card appear on the app?,,,,,,,,,,,,
273,How do I link the new card?,,,,,,,,,,,,
274,Where in the app do I link a new card?,,,,,,,,,,,,
275,How do I add my card to the app once I get it?,,,,,,,,,,,,
276,Can I link your physical card,,,,,,,,,,,,
277,How do I activate and link my new card?,,,,,,,,,,,,
278,"I got a card, how do I get it in the app?",,,,,,,,,,,,
279,I received my new card.  Where is it in the app?,,,,,,,,,,,,
280,"I found my card, how can I use it again?",,,,,,,,,,,,
281,"I just received a new card, where do I go to link it to my account?",,,,,,,,,,,,
282,"found card, how to put it back in app",,,,,,,,,,,,
283,How do I see my card in the app?,,,,,,,,,,,,
284,"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",,,,,,,,,,,,
285,I don't see my card anywhere in the app.,,,,,,,,,,,,
286,"I received my card, how do I get it to work in the app?",,,,,,,,,,,,
287,What do I do if I already had a card with you guys?,,,,,,,,,,,,
288,if i found a lost card can i put it back in app,,,,,,,,,,,,
289,I have a card that was deactivated can I reactivate it?,,,,,,,,,,,,
290,"My new card isn't in my app, how do I get it in there?",,,,,,,,,,,,
291,Help me access the card I already got so I can information from it.,,,,,,,,,,,,
292,What is my money worth in other countries?,,,,,,,,,,,,
293,Will my money be of equal value when I travel abroad?,,,,,,,,,,,,
294,Do you know the rate of exchange?,,,,,,,,,,,,
